,hid1_neuro,hid2_neuor,Train_AUC,Test_AUC,Val_AUC
1,25,10,0.8852,0.8853,0.8955
2,25,20,0.8854,0.8854,0.8956
3,25,30,0.8856,0.8858,0.8959
4,25,40,0.8859,0.8861,0.8962
5,25,50,0.886,0.8861,0.8968
6,50,10,0.8859,0.8862,0.8968
7,50,20,0.8861,0.8864,0.8965
8,50,30,0.8862,0.8865,0.8967
9,50,40,0.8863,0.8861,0.8967
10,50,50,0.8863,0.8869,0.8962
11,75,10,0.8861,0.8865,0.8965
12,75,20,0.886,0.8861,0.8962
13,75,30,0.8861,0.8861,0.8967
14,75,40,0.8862,0.8866,0.8968
15,75,50,0.8861,0.8864,0.8967
16,100,10,0.8862,0.8861,0.8964
17,100,20,0.8861,0.8861,0.8966
18,100,30,0.8862,0.8864,0.8966
19,100,40,0.8862,0.8869,0.8966
20,100,50,0.8862,0.8861,0.8963
21,125,10,0.8862,0.8862,0.8962
22,125,20,0.8861,0.8864,0.8963
23,125,30,0.8862,0.8864,0.8966
24,125,40,0.8862,0.8869,0.8965
25,125,50,0.8862,0.8866,0.8965
26,150,10,0.8861,0.8867,0.8969
27,150,20,0.8862,0.8862,0.8964
28,150,30,0.886,0.8861,0.8963
29,150,40,0.8862,0.8867,0.8962
30,150,50,0.8861,0.8864,0.8968
