,p,p_1,odds,score,no_of_alerts,true_alerts,FPR,TPR,FN,TN,FP,TP,percentage,no_of_alerts_mon,no_of_alerts_days,perc_alerts,perc_savings,type2error,False_alert,FTE_costs,Mis_costs,Tot_costs,Per_of_Current_Cost,,
1,0.9999,1.00E-04,9999,1006,0,0,0,0,4207,4163,0,0,0,0,0,0,1,0.58205,28,0,736225,736225,7.329998009,,
2,0.9949,0.0051,195.0784314,779,0,0,0,0,4207,4163,0,0,0,0,0,0,1,0.5716,28,0,736225,736225,7.329998009,,
3,0.9899,0.0101,98.00990099,739,0,0,0,0,4207,4163,0,0,0,0,0,0,1,0.56115,28,0,736225,736225,7.329998009,,
4,0.9849,0.0151,65.22516556,715,0,0,0,0,4207,4163,0,0,0,0,0,0,1,0.5507,28,0,736225,736225,7.329998009,,
5,0.9799,0.0201,48.75124378,699,0,0,0,0,4207,4163,0,0,0,0,0,0,1,0.54025,28,0,736225,736225,7.329998009,,
6,0.9749,0.0251,38.84063745,685,0,0,0,0,4207,4163,0,0,0,0,0,0,1,0.5298,28,0,736225,736225,7.329998009,,
7,0.9699,0.0301,32.22259136,675,12,8,0.000960846,0.001901593,4199,4159,4,8,0,1,0,0.001194743,0.998805257,0.51935,27.94675541,144,734825,734969,7.317493031,,
8,0.9649,0.0351,27.49002849,665,12,8,0.000960846,0.001901593,4199,4159,4,8,0,1,0,0.001194743,0.998805257,0.5089,27.94675541,144,734825,734969,7.317493031,,
9,0.9599,0.0401,23.93765586,657,12,8,0.000960846,0.001901593,4199,4159,4,8,0,1,0,0.001194743,0.998805257,0.49845,27.94675541,144,734825,734969,7.317493031,,
10,0.9549,0.0451,21.172949,650,24,16,0.001921691,0.003803185,4191,4155,8,16,0,2,0,0.002389486,0.997610514,0.488,27.89351082,288,733425,733713,7.304988053,,
11,0.9499,0.0501,18.96007984,644,36,22,0.003362959,0.00522938,4185,4149,14,22,0,4,0,0.004778973,0.995221027,0.47755,27.85357737,432,732375,732807,7.295967742,,
12,0.9449,0.0551,17.14882033,638,36,22,0.003362959,0.00522938,4185,4149,14,22,0,4,0,0.004778973,0.995221027,0.4671,27.85357737,432,732375,732807,7.295967742,,
13,0.9399,0.0601,15.63893511,633,36,22,0.003362959,0.00522938,4185,4149,14,22,0,4,0,0.004778973,0.995221027,0.45665,27.85357737,432,732375,732807,7.295967742,,
14,0.9349,0.0651,14.3609831,628,36,22,0.003362959,0.00522938,4185,4149,14,22,0,4,0,0.004778973,0.995221027,0.4462,27.85357737,432,732375,732807,7.295967742,,
15,0.9299,0.0701,13.26533524,623,36,22,0.003362959,0.00522938,4185,4149,14,22,0,4,0,0.004778973,0.995221027,0.43575,27.85357737,432,732375,732807,7.295967742,,
16,0.9249,0.0751,12.31557923,619,36,22,0.003362959,0.00522938,4185,4149,14,22,0,4,0,0.004778973,0.995221027,0.4253,27.85357737,432,732375,732807,7.295967742,,
17,0.9199,0.0801,11.48439451,615,36,22,0.003362959,0.00522938,4185,4149,14,22,0.005,4,0,0.004778973,0.995221027,0.41485,27.85357737,432,732375,732807,7.295967742,,
18,0.9149,0.0851,10.75088132,611,48,28,0.004804228,0.006655574,4179,4143,20,28,0.01,5,0,0.005973716,0.994026284,0.4044,27.81364393,576,731325,731901,7.286947431,,
19,0.9099,0.0901,10.09877913,608,48,28,0.004804228,0.006655574,4179,4143,20,28,0.015,5,0,0.005973716,0.994026284,0.39395,27.81364393,576,731325,731901,7.286947431,,
20,0.9049,0.0951,9.515247108,604,48,28,0.004804228,0.006655574,4179,4143,20,28,0.02,5,0,0.005973716,0.994026284,0.3835,27.81364393,576,731325,731901,7.286947431,,
21,0.8999,0.1001,8.99000999,601,48,28,0.004804228,0.006655574,4179,4143,20,28,0.025,5,0,0.005973716,0.994026284,0.37305,27.81364393,576,731325,731901,7.286947431,,
22,0.8949,0.1051,8.514747859,598,48,28,0.004804228,0.006655574,4179,4143,20,28,0.03,5,0,0.005973716,0.994026284,0.3626,27.81364393,576,731325,731901,7.286947431,,
23,0.8899,0.1101,8.082652134,595,60,32,0.006725919,0.00760637,4175,4135,28,32,0.035,6,0,0.007168459,0.992831541,0.35215,27.78702163,720,730625,731345,7.281411788,,
24,0.8849,0.1151,7.688097307,592,60,32,0.006725919,0.00760637,4175,4135,28,32,0.04,6,0,0.007168459,0.992831541,0.3417,27.78702163,720,730625,731345,7.281411788,,
25,0.8799,0.1201,7.326394671,589,60,32,0.006725919,0.00760637,4175,4135,28,32,0.045,6,0,0.007168459,0.992831541,0.33125,27.78702163,720,730625,731345,7.281411788,,
